"Gene name","wt.r1.rpkm","wt.r2.rpkm","wt.r3.rpkm","alg1.r1.rpkm","alg1.r2.rpkm","alg1.r3.rpkm"
"F40D4.17.2",1026.14,0,0,1578.12,2535.94,0
"F40E10.2.1",2365.61,5657.07,3554.52,3925.83,8735.12,3600.04
"F40E10.2.2",947.151,2265,726.108,2285.3,2948.79,1441.4
"F40E10.3.1",98603.3,90032.8,85871.9,90147.8,96916,86054.6
"F40E10.3.2",75361.7,72910.5,64415.1,71316.4,77443.7,65636.9
"F40E10.4.1",4856.22,5816.6,4213.62,7834.83,7299.13,9123.35
"F40E10.5.1",14440.4,6421.83,8966.96,11642.3,23113.6,19089.1
"F40E10.6.1",8466.28,9545.77,9671.22,13350.5,12172.3,9632.04
"F40E10.6.2",8655.32,9307.2,9474.41,11409.6,12247.4,10638.5
"F40E10.6.3",8113.52,8059.3,8668.11,10860.4,10069.7,8832.11
"F40E10.6.4",9345.85,8487.53,10502.4,12967.9,11610.5,12238.8
"F40E3.2.1",22840,19873,26195.1,24377.8,19282,20244.1
"F40E3.3.1",0,0,0,89.8293,0,0
"F40E3.5.1",849.736,1292.05,699.54,1862.7,1139.22,2068.65
"F40E3.5.2",907.27,1379.53,746.904,1988.82,1039.21,2208.71
"F40E3.5.3",900.237,1368.84,741.114,1973.41,820.24,2191.59
"F40E3.6a.1",0,42.611,0,0,577.788,0
"F40F11.1.1",3019100,2431730,2393110,2612800,2582350,2912380
"F40F11.2.1",26270.7,24421.7,25107.3,28678,29148.9,31775.3
"F40F11.3a.1",8213.49,9853.8,6402.04,4330.88,8219.25,4072.45
"F40F11.3b.1",8262.68,9912.81,6440.38,4356.81,8268.47,4096.83
"F40F11.4.1",311.776,498.097,35.6928,41.0989,0,0
"F40F12.3.1",5227.54,6538.72,4888.83,6114.59,4136.72,4679.43
"F40F12.4.1",230.677,19.7076,144.046,0,291.52,666.4
"F40F12.5a.1",9739.62,8059.12,8082.59,7833.56,8155.86,8965.71
"F40F12.5b.1",6566.34,9039.01,6227.32,6059.62,5866.32,7566.33
"F40F12.5c.1",6104.39,8422.3,6037.99,5811.82,5417.55,6729.93
"F40F12.7.1",5746.38,7265.69,4410.79,9659.94,8504.89,7719.01
"F40F12.7.2",5004.16,6351.26,3808.83,7452.01,7608.76,7402.94
"F40F12.7.3",5697.64,7231.42,4481.98,8484.72,8663.19,7864.67
"F40F12.7.4",6086.47,7395.4,4743.66,9036.93,9538.31,8062.24
"F40F12.7.5",5949.03,7074.82,4529.44,8724.81,8447.27,7549.7
"F40F12.7.6",3447.72,5810.64,3852.27,4491.91,4443.11,3400.91
"F40F12.7.7",5164.58,4950.53,3931.21,6223.07,6887.16,5357.94
"F40F12.7.8",4983.68,5721.65,4665.05,7445.54,7965.8,6119.53
"F40F12.9a.1",0,1584.99,446.951,46.3183,1153.29,26.3166
"F40F12.9a.2",0,0,35.9473,93.1319,409.22,52.9146
"F40F12.9b.1",132.247,1267.68,171.586,2492.93,3232.55,29.7148
"F40F12.9b.2",36.2455,1737.19,207.474,3416.24,3883.94,17.4516
"F40F4.1.1",0,0,0,0,903.976,0
"F40F4.2.1",129202,139191,134868,106376,103074,87988.1
"F40F4.2.2",149304,135800,136014,105715,94051.8,97444.7
"F40F4.3.1",31204.3,25735.8,21013.8,17523,20269.2,20612.1
"F40F4.3.2",28540.6,23449.9,20691.4,15966.6,18468.9,18781.3
"F40F4.4a.1",30121.1,38158.2,33312.5,28319.6,34976.5,29332.4
"F40F4.4b.1",39945.1,38160.4,37880.4,31682,42953.1,34999.4
"F40F4.5.1",1883.88,7305.5,3991.14,2569,1404.74,3539.59
"F40F4.6a.1",69394.9,94369.7,57443.9,59431.1,54537.7,53946.6
"F40F4.6a.2",69257.8,93835.8,57071.8,59470.9,54349.7,54242.2
"F40F4.6a.3",69332.3,93880.4,57097.4,59523.6,54374,54266.5
"F40F4.6b.1",73480,99040.1,59604.3,61927.1,57294.5,57383.1
"F40F4.6b.2",73121.6,98751.3,59604.3,61901.1,57178.9,57261.8
"F40F4.6b.3",73218.1,99231,59952.7,61840.7,57338.2,56935.2
"F40F4.7.1",3806.91,2671.45,3064.79,2355.1,4216.68,8167.93
"F40F4.7.2",2604,2723.08,2214.74,2400.61,3246.62,4610.85
"F40F4.7.3",2556.66,2673.57,2174.47,2356.97,3187.6,4527.02
"F40F4.7.4",2785.68,2913.06,2369.25,2568.1,3525.86,4932.54
"F40F4.7.5",2849.49,3650.72,2423.53,2626.93,3606.63,5045.53
"F40F4.8.1",1569.96,3389.92,1818.72,14117.3,10609.2,11244.1
"F40F8.10.1",2729430,2451270,2243460,2541150,2414080,2328250
"F40F8.11a.1",14725.6,15389,17618.7,16507.1,21419.7,23093.4
"F40F8.11b.1",7107.94,10121.4,10543.2,9217.06,11599.4,11011
"F40F8.12.1",0,0,0,2718.54,0,0
"F40F8.1a.1",1961.91,1934.64,1937.3,1487.55,2257.62,1716.28
"F40F8.1a.10",1974.22,1814.6,1931.88,1496.88,2271.79,1727.05
"F40F8.1a.11",2855.75,3352.48,2612.86,2288.9,2106.52,2456.96
"F40F8.1a.2",2753.23,2699.51,2123.86,1658.26,2116.42,1447.85
"F40F8.1a.3",2184.44,2007.82,2137.58,1656.27,2513.69,1727.71
"F40F8.1a.4",2169.38,1993.97,2122.84,1644.85,2496.35,1897.77
"F40F8.1a.5",1935.75,1792.82,1894.23,1467.71,2227.51,1693.39
"F40F8.1a.6",1918.05,1992.32,1897.4,1454.29,2207.14,1677.9
"F40F8.1a.7",1851.9,2278.02,2602.77,1472.37,2180.53,1483.23
"F40F8.1a.8",4639.83,2896.21,4134.05,2230.87,2851.95,3140.68
"F40F8.1a.9",1883.59,1983.35,1877.25,1363.99,2177.67,1489.76
"F40F8.1b.1",3033.49,4795.77,4265.19,3289.44,4547.45,2524.24
"F40F8.1b.2",6239.52,5814.39,4440.97,5462.7,6479.66,5067.54
"F40F8.1b.3",5616.14,8295.56,4640.42,5703.23,5913.73,3718.21
"F40F8.3.1",9208.8,11604.5,12778.7,14944.1,12526.7,7927.22
"F40F8.4.1",23998.3,18820.8,12424,8085.84,16155.1,9895.04
"F40F8.5a.1",4737.45,5465.2,4956.61,5602.89,4858.34,4876.16
"F40F8.5a.2",4279.17,4922.39,4461.07,4919.45,4265.73,4293.08
"F40F8.5b.1",1064.22,2095.43,1371.83,1337.23,1507.88,1503.24
"F40F8.5b.2",1050.28,1915.52,1292.28,1114.53,1256.77,1268.89
"F40F8.5c.1",1604.98,1848.91,2117.17,1745.24,1857.02,1699.51
"F40F8.5c.2",1506.11,1716.9,1923.54,1468.92,1563,1445.63
"F40F8.5d.1",1827.49,2551.93,2319.72,2501.71,2700.8,2523.22
"F40F8.5d.2",1710.89,2340.37,2123.48,2157.32,2329,2189.09
"F40F8.5e.1",3050.86,3373.41,2888.46,2835.75,3019.28,2779.36
"F40F8.5e.2",2777.05,3061.53,2624.71,2460.72,2619.97,2424.48
"F40F8.5f.1",2577.02,2706.97,2551.92,2455.25,2407.9,2019.84
"F40F8.5f.2",2346.92,2463.14,2313.01,2101.4,2060.88,1742.58
"F40F8.5g.1",3426.83,4036.13,3493.46,3933.22,3489.76,3597.79
"F40F8.5g.2",3103.9,3637.34,3150.34,3414.02,3029.1,3135.54
"F40F8.5h.1",1844.95,2599.59,2095.42,2072.54,2070.23,1945.74
"F40F8.5h.2",1720.36,2371.24,1922.29,1773.85,1771.87,1679.15
"F40F8.5i.1",2049.66,2663.52,2515.76,2814.38,2795.64,2612.14
"F40F8.5i.2",1908.52,2445.93,2301.7,2442.87,2426.6,2280
"F40F8.5j.1",1586.31,2471.83,1853.94,1683.44,1924.52,1809.88
"F40F8.5j.2",1494.9,2252.02,1709.12,1429.43,1634.13,1551.28
"F40F8.7.1",55722.5,79873.5,43235.6,35280.9,29523.2,20871.7
"F40F8.7.2",59724.9,84252.2,46349.7,36250.9,31331.1,21633.1
"F40F8.8a.1",670.66,702.486,487.865,736.732,825.482,1184.01
"F40F8.8a.2",698.068,731.194,507.802,766.84,859.217,1232.39
"F40F8.8b.1",615.718,644.936,580.064,828.562,757.856,1087.01
"F40F8.9.1",9241.37,7054.43,8593.65,9235.58,17005.3,11372.9
"F40F8.9.2",10575.6,6796.96,8500.81,10424,18172.1,10957.8
"F40F9.10.1",1650.36,3101.93,997.169,2115.11,1407.34,1081.57
"F40F9.1a.1",2038.07,1895.11,1133.1,2284.58,2984.86,3312.34
"F40F9.1a.2",1845.45,1768.27,1026.01,2104.05,2949.39,2999.28
"F40F9.1a.3",1935.43,1854.5,1076.04,2206.65,2864.84,3145.53
"F40F9.1a.4",1938.53,1857.46,1206.93,2210.18,2869.43,3150.57
"F40F9.1b.1",1544.5,1479.86,1785.89,1352.7,2017.37,2191.11
"F40F9.1b.10",1405.52,1396.46,1625.18,1264.68,2070.66,1993.94
"F40F9.1b.11",1470.62,1461.14,1700.46,1323.26,1949.64,2086.3
"F40F9.1b.12",1478.48,1468.95,1832.7,1330.33,1960.06,2097.45
"F40F9.1b.13",677.89,568.589,413.274,723.926,621.217,721.901
"F40F9.1b.14",675.743,533.675,411.965,626.028,619.25,719.615
"F40F9.1b.15",715.534,576.372,1055.92,636.613,606.97,737.246
"F40F9.1b.16",718.403,565.509,390.965,611.422,579.164,765.045
"F40F9.1b.17",703.017,587.847,363.904,750.76,566.76,748.66
"F40F9.1b.18",699.56,584.956,362.114,747.068,563.973,744.979
"F40F9.1b.19",722.05,568.38,373.756,614.526,582.104,768.929
"F40F9.1b.2",706.509,535.82,384.813,662.812,616.072,752.379
"F40F9.1b.20",542.226,653.227,370.359,933.115,1163.15,577.429
"F40F9.1b.3",700.709,497.085,381.654,558.233,611.014,746.202
"F40F9.1b.4",695.569,493.439,333.341,554.139,583.504,740.728
"F40F9.1b.5",696.136,526.153,366.511,817.23,557.349,741.333
"F40F9.1b.6",706.509,533.993,319.803,675.627,538.203,752.379
"F40F9.1b.7",704.177,497.725,318.747,614.053,536.427,749.896
"F40F9.1b.8",707.094,534.436,320.068,716.637,538.649,753.002
"F40F9.1b.9",559.114,421.767,324.183,595.178,513.162,545.631
"F40F9.2.1",12849.5,7682.89,9317.27,5992.49,7580.74,6985.51
"F40F9.2.2",7587,5858.66,4755.08,3582.43,4641.97,3880.26
"F40F9.3.1",14062.2,17773.4,17863.5,7335.52,8188.7,13758.6
"F40F9.4.1",580.35,0,0,0,0,0
"F40F9.5.1",1885.42,2167.03,2784.79,1740.37,2529.85,1415.03
"F40F9.5.2",1833.65,2107.52,2708.32,1773.74,2460.38,1376.17
"F40F9.5.3",1803.93,2073.36,2664.43,1665.15,2420.51,1353.87
"F40F9.5.4",1871.96,2151.56,2764.92,1810.8,2511.8,1404.93
"F40F9.6a.1",18238,20524.3,19125.6,18417.7,18912.9,18347.1
"F40F9.6a.2",18167.7,20445.1,19159.9,18346.7,18840,18349
"F40F9.6b.1",20908.1,22080.1,21030.9,21033.3,21037.1,21381
"F40F9.6b.2",20826.4,21993.8,21058.2,20951,20954.8,21371.1
"F40F9.6c.1",16629.7,16850.6,16532.2,16711.8,16165.1,17635.6
"F40F9.6c.2",16543.4,16763.2,16591.8,16625.1,16081.2,17641.9
"F40F9.7a.1",7452.75,6570.55,6787.61,7434.59,6498.42,6382.7
"F40F9.7a.2",6505.59,6213.35,6401.11,5952.29,5479.67,5580.87
"F40F9.7b.1",5995.38,6052.86,5738.27,6137.54,5349.22,5885.44
"F40F9.7b.2",5794.3,5570.97,4847.16,5057.81,5185.71,4780
"F40F9.7b.3",5635.04,5262.97,4287.66,5105.38,5065.27,5342.13
"F40F9.7b.4",7198.53,7367.44,6583.22,6767.64,6556.44,5998.82
"F40F9.7b.5",5969.98,6027.22,5827.89,6111.53,5326.55,5860.5
"F40F9.7b.6",5820.84,5753.76,5044.58,5352.99,5167.84,5190.96
"F40F9.7b.7",5769.57,6004.79,4905.99,5160.82,5141.18,4766.49
"F40F9.7b.8",5629.15,5649.77,4346.42,5172.87,5059.97,5342.46
"F40F9.7b.9",5696.07,5852.25,4889.6,5110.14,5175.9,4902.81
"F40F9.8.1",0,0,0,946.036,0,0
"F40F9.9.1",29664.5,30554.8,31898.9,46484.9,34630.2,39601.2
"F40G12.1.1",0,0,0,0,830.494,0
"F40G12.11.1",0,0,0,1156.09,261.249,820.397
"F40G12.2.1",0,2487.94,0,0,47.1825,0
"F40G12.6.1",0,0,0,1343.36,1551.56,0
"F40G12.7.1",1038.17,0,1801.94,88.2923,620.728,1676.94
"F40G9.1.1",7471.47,5477.33,7510.06,5803.17,4550.32,4931.84
"F40G9.1.2",6848.18,5867.69,8045.27,6216.75,4874.61,5283.32
"F40G9.1.3",5719.86,5834.69,7183.39,5711.62,4847.19,5253.6
"F40G9.14.1",0,0,0,0,0,1576.28
"F40G9.17.1",743.419,662.418,870.242,791.395,916.603,953.087
"F40G9.17.10",734.203,654.206,859.454,781.585,905.241,941.272
"F40G9.17.11",778.717,693.869,911.561,828.971,960.124,998.34
"F40G9.17.12",767.504,683.878,898.436,817.035,946.299,983.965
"F40G9.17.13",770.277,686.349,901.682,819.986,949.718,987.52
"F40G9.17.14",782.145,696.924,922.972,832.62,964.35,1006.88
"F40G9.17.15",787.925,702.075,929.794,838.774,971.478,1014.32
"F40G9.17.2",721.776,643.133,851.734,768.355,889.918,944.481
"F40G9.17.3",770.834,686.845,857.263,820.579,942.356,988.234
"F40G9.17.4",765.41,3224.14,1732.25,1961.55,1290.79,4691.97
"F40G9.17.5",765.3,681.914,895.856,814.688,943.582,981.139
"F40G9.17.6",803.363,715.83,893.44,855.208,982.124,1029.94
"F40G9.17.7",1825.48,666.547,1098.17,774.03,1959.82,710.987
"F40G9.17.8",769.165,685.358,900.381,818.803,948.347,986.095
"F40G9.17.9",800.348,713.143,890.086,851.998,978.437,1026.07
"F40G9.2.1",26230.9,28570.5,35558.3,47020.5,37252.8,39976.5
"F40G9.3.1",105270,133567,124943,122895,102022,124107
"F40G9.5.1",5334.72,5341.48,3115.14,2926.21,8087.91,6757.58
"F40G9.9.1",0,1021.21,0,0,0,0
